id,feedId,timestamp,power,created_at,updated_at
43132,142561308,"2017-06-06 12:47:39",2782,"2017-06-06 20:48:37","2017-06-06 20:48:37"
43133,458165108,"2017-06-06 12:48:12",193,"2017-06-06 20:48:38","2017-06-06 20:48:38"
43134,142561308,"2017-06-06 12:52:41",3277,"2017-06-06 20:52:52","2017-06-06 20:52:52"
43135,458165108,"2017-06-06 12:53:13",192,"2017-06-06 20:53:16","2017-06-06 20:53:16"
43136,142561308,"2017-06-06 12:57:41",2560,"2017-06-06 20:57:53","2017-06-06 20:57:53"
43137,458165108,"2017-06-06 12:58:14",193,"2017-06-06 20:58:17","2017-06-06 20:58:17"
43138,142561308,"2017-06-06 13:02:42",3127,"2017-06-06 21:02:54","2017-06-06 21:02:54"
43139,458165108,"2017-06-06 13:03:15",192,"2017-06-06 21:03:18","2017-06-06 21:03:18"
43140,142561308,"2017-06-06 13:07:43",2959,"2017-06-06 21:07:44","2017-06-06 21:07:44"
43141,458165108,"2017-06-06 13:08:17",222,"2017-06-06 21:08:19","2017-06-06 21:08:19"
43142,142561308,"2017-06-06 13:12:45",2723,"2017-06-06 21:12:45","2017-06-06 21:12:45"
43143,458165108,"2017-06-06 13:13:18",218,"2017-06-06 21:13:21","2017-06-06 21:13:21"
43144,142561308,"2017-06-06 13:17:46",3527,"2017-06-06 21:17:57","2017-06-06 21:17:57"
43145,458165108,"2017-06-06 13:18:19",221,"2017-06-06 21:18:21","2017-06-06 21:18:21"
43146,142561308,"2017-06-06 13:22:47",4021,"2017-06-06 21:22:47","2017-06-06 21:22:47"
43147,458165108,"2017-06-06 13:23:20",239,"2017-06-06 21:23:23","2017-06-06 21:23:23"
43148,142561308,"2017-06-06 13:27:48",6950,"2017-06-06 21:27:49","2017-06-06 21:27:49"
43149,458165108,"2017-06-06 13:28:21",1205,"2017-06-06 21:28:26","2017-06-06 21:28:26"
43150,142561308,"2017-06-06 13:32:49",6626,"2017-06-06 21:32:52","2017-06-06 21:32:52"
43151,458165108,"2017-06-06 13:33:22",1913,"2017-06-06 21:33:29","2017-06-06 21:33:29"
43152,142561308,"2017-06-06 13:37:50",5614,"2017-06-06 21:37:55","2017-06-06 21:37:55"
43153,458165108,"2017-06-06 13:38:23",1917,"2017-06-06 21:38:30","2017-06-06 21:38:30"
43154,142561308,"2017-06-06 13:42:51",4029,"2017-06-06 21:42:55","2017-06-06 21:42:55"
43155,458165108,"2017-06-06 13:43:24",1586,"2017-06-06 21:43:31","2017-06-06 21:43:31"
43156,142561308,"2017-06-06 13:47:52",3224,"2017-06-06 21:47:57","2017-06-06 21:47:57"
43157,458165108,"2017-06-06 13:48:25",302,"2017-06-06 21:48:32","2017-06-06 21:48:32"
43158,142561308,"2017-06-06 13:52:53",3864,"2017-06-06 21:52:57","2017-06-06 21:52:57"
43159,458165108,"2017-06-06 13:53:26",299,"2017-06-06 21:53:33","2017-06-06 21:53:33"
43160,142561308,"2017-06-06 13:57:54",3376,"2017-06-06 21:57:57","2017-06-06 21:57:57"
43161,458165108,"2017-06-06 13:58:27",304,"2017-06-06 21:58:33","2017-06-06 21:58:33"
43162,142561308,"2017-06-06 14:02:55",3880,"2017-06-06 22:03:00","2017-06-06 22:03:00"
43163,458165108,"2017-06-06 14:03:28",332,"2017-06-06 22:03:35","2017-06-06 22:03:35"
43164,142561308,"2017-06-06 14:07:57",3029,"2017-06-06 22:08:00","2017-06-06 22:08:00"
43165,458165108,"2017-06-06 14:08:29",322,"2017-06-06 22:08:36","2017-06-06 22:08:36"
43166,142561308,"2017-06-06 14:12:58",3748,"2017-06-06 22:13:02","2017-06-06 22:13:02"
43167,458165108,"2017-06-06 14:13:30",317,"2017-06-06 22:13:38","2017-06-06 22:13:38"
43168,142561308,"2017-06-06 14:17:59",3282,"2017-06-06 22:18:03","2017-06-06 22:18:03"
43169,458165108,"2017-06-06 14:18:32",1818,"2017-06-06 22:18:39","2017-06-06 22:18:39"
43170,142561308,"2017-06-06 14:23:00",3044,"2017-06-06 22:23:06","2017-06-06 22:23:06"
43171,458165108,"2017-06-06 14:23:33",3315,"2017-06-06 22:23:41","2017-06-06 22:23:41"
43172,142561308,"2017-06-06 14:28:02",3807,"2017-06-06 22:28:06","2017-06-06 22:28:06"
43173,458165108,"2017-06-06 14:28:34",3206,"2017-06-06 22:28:42","2017-06-06 22:28:42"
43174,142561308,"2017-06-06 14:33:03",2694,"2017-06-06 22:33:08","2017-06-06 22:33:08"
43175,458165108,"2017-06-06 14:33:35",298,"2017-06-06 22:33:44","2017-06-06 22:33:44"
43176,142561308,"2017-06-06 14:38:04",3564,"2017-06-06 22:38:08","2017-06-06 22:38:08"
43177,458165108,"2017-06-06 14:38:36",651,"2017-06-06 22:38:44","2017-06-06 22:38:44"
43178,142561308,"2017-06-06 14:43:04",3114,"2017-06-06 22:43:10","2017-06-06 22:43:10"
43179,458165108,"2017-06-06 14:43:37",308,"2017-06-06 22:43:45","2017-06-06 22:43:45"
43180,142561308,"2017-06-06 14:48:06",2897,"2017-06-06 22:48:11","2017-06-06 22:48:11"
43181,458165108,"2017-06-06 14:48:38",306,"2017-06-06 22:48:46","2017-06-06 22:48:46"
43182,142561308,"2017-06-06 14:53:07",3616,"2017-06-06 22:53:12","2017-06-06 22:53:12"
43183,458165108,"2017-06-06 14:53:39",691,"2017-06-06 22:53:47","2017-06-06 22:53:47"
43184,142561308,"2017-06-06 14:58:09",2668,"2017-06-06 22:58:13","2017-06-06 22:58:13"
43185,458165108,"2017-06-06 14:58:40",4065,"2017-06-06 22:58:49","2017-06-06 22:58:49"
43186,142561308,"2017-06-06 15:03:10",3336,"2017-06-06 23:03:13","2017-06-06 23:03:13"
43187,458165108,"2017-06-06 15:03:41",3380,"2017-06-06 23:03:49","2017-06-06 23:03:49"
43188,142561308,"2017-06-06 15:08:11",2949,"2017-06-06 23:08:17","2017-06-06 23:08:17"
43189,458165108,"2017-06-06 15:08:42",1536,"2017-06-06 23:08:53","2017-06-06 23:08:53"
43190,142561308,"2017-06-06 15:13:12",3042,"2017-06-06 23:13:18","2017-06-06 23:13:18"
43191,458165108,"2017-06-06 15:13:43",324,"2017-06-06 23:13:54","2017-06-06 23:13:54"
43192,142561308,"2017-06-06 15:18:13",3360,"2017-06-06 23:18:19","2017-06-06 23:18:19"
43193,458165108,"2017-06-06 15:18:44",867,"2017-06-06 23:18:55","2017-06-06 23:18:55"
43194,142561308,"2017-06-06 15:23:15",2595,"2017-06-06 23:23:22","2017-06-06 23:23:22"
43195,458165108,"2017-06-06 15:23:45",1458,"2017-06-06 23:23:46","2017-06-06 23:23:46"
43196,142561308,"2017-06-06 15:28:16",2394,"2017-06-06 23:28:23","2017-06-06 23:28:23"
43197,458165108,"2017-06-06 15:28:46",1725,"2017-06-06 23:28:47","2017-06-06 23:28:47"
43198,142561308,"2017-06-06 15:33:17",2831,"2017-06-06 23:33:23","2017-06-06 23:33:23"
43199,458165108,"2017-06-06 15:33:47",1847,"2017-06-06 23:33:48","2017-06-06 23:33:48"
43200,142561308,"2017-06-06 15:38:18",2057,"2017-06-06 23:38:25","2017-06-06 23:38:25"
43201,458165108,"2017-06-06 15:38:48",1839,"2017-06-06 23:38:49","2017-06-06 23:38:49"
43202,142561308,"2017-06-06 15:43:19",2753,"2017-06-06 23:43:25","2017-06-06 23:43:25"
43203,458165108,"2017-06-06 15:43:49",1762,"2017-06-06 23:43:49","2017-06-06 23:43:49"
43204,142561308,"2017-06-06 15:48:20",2140,"2017-06-06 23:48:26","2017-06-06 23:48:26"
43205,458165108,"2017-06-06 15:48:51",1710,"2017-06-06 23:49:01","2017-06-06 23:49:01"
43206,142561308,"2017-06-06 15:53:21",2475,"2017-06-06 23:53:27","2017-06-06 23:53:27"
43207,458165108,"2017-06-06 15:53:52",1480,"2017-06-06 23:54:03","2017-06-06 23:54:03"
43208,142561308,"2017-06-06 15:58:22",2981,"2017-06-06 23:58:28","2017-06-06 23:58:28"
43209,458165108,"2017-06-06 15:58:53",1470,"2017-06-06 23:59:04","2017-06-06 23:59:04"
43210,142561308,"2017-06-06 16:03:23",2930,"2017-06-07 00:03:28","2017-06-07 00:03:28"
43211,458165108,"2017-06-06 16:03:55",1321,"2017-06-07 00:04:04","2017-06-07 00:04:04"
43212,142561308,"2017-06-06 16:08:24",3828,"2017-06-07 00:08:55","2017-06-07 00:08:55"
43213,458165108,"2017-06-06 16:08:56",1107,"2017-06-07 00:08:56","2017-06-07 00:08:56"
43214,142561308,"2017-06-06 16:13:26",3033,"2017-06-07 00:13:34","2017-06-07 00:13:34"
43215,458165108,"2017-06-06 16:13:57",915,"2017-06-07 00:13:58","2017-06-07 00:13:58"
43216,142561308,"2017-06-06 16:18:27",2917,"2017-06-07 00:18:36","2017-06-07 00:18:36"
43217,458165108,"2017-06-06 16:18:58",827,"2017-06-07 00:19:00","2017-06-07 00:19:00"
43218,142561308,"2017-06-06 16:23:28",3219,"2017-06-07 00:23:37","2017-06-07 00:23:37"
43219,458165108,"2017-06-06 16:23:59",808,"2017-06-07 00:24:01","2017-06-07 00:24:01"
43220,142561308,"2017-06-06 16:28:29",2214,"2017-06-07 00:28:38","2017-06-07 00:28:38"
43221,458165108,"2017-06-06 16:29:00",756,"2017-06-07 00:29:02","2017-06-07 00:29:02"
43222,142561308,"2017-06-06 16:33:30",2869,"2017-06-07 00:33:39","2017-06-07 00:33:39"
43223,458165108,"2017-06-06 16:34:01",739,"2017-06-07 00:34:03","2017-06-07 00:34:03"
43224,142561308,"2017-06-06 16:38:31",2832,"2017-06-07 00:38:41","2017-06-07 00:38:41"
43225,458165108,"2017-06-06 16:39:02",744,"2017-06-07 00:39:05","2017-06-07 00:39:05"
43226,142561308,"2017-06-06 16:43:33",2079,"2017-06-07 00:43:42","2017-06-07 00:43:42"
43227,458165108,"2017-06-06 16:44:03",745,"2017-06-07 00:44:06","2017-06-07 00:44:06"
43228,142561308,"2017-06-06 16:48:33",3171,"2017-06-07 00:48:44","2017-06-07 00:48:44"
43229,458165108,"2017-06-06 16:49:04",797,"2017-06-07 00:49:09","2017-06-07 00:49:09"
43230,142561308,"2017-06-06 16:53:34",1948,"2017-06-07 00:53:46","2017-06-07 00:53:46"
43231,458165108,"2017-06-06 16:54:05",812,"2017-06-07 00:54:10","2017-06-07 00:54:10"
43232,142561308,"2017-06-06 16:58:35",4961,"2017-06-07 00:58:47","2017-06-07 00:58:47"
43233,458165108,"2017-06-06 16:59:06",718,"2017-06-07 00:59:11","2017-06-07 00:59:11"
43234,142561308,"2017-06-06 17:03:37",5014,"2017-06-07 01:03:38","2017-06-07 01:03:38"
43235,458165108,"2017-06-06 17:04:07",706,"2017-06-07 01:04:14","2017-06-07 01:04:14"
